state,pollingError,whiteNoDegree
West Virginia,8,57
Idaho,5,56
Iowa,3,50
Kentucky,6,49
Wyoming,6,48
Montana,4,48
Nebraska,5,48
Utah,3,47
North Dakota,7,46
Oklahoma,5,46
Arkansas,3,46
Maine,2,46
Wisconsin,3,46
South Dakota,7,44
Tennessee,7,44
Missouri,5,43
New Hampshire,2,43
Alaska,4,43
Vermont,-1,43
Massachusetts,-2,28
New York,-1,28
Virginia,0,27
Connecticut,0,27
Texas,0,26
Hawaii,-4,20
District of Columbia,-9,2
Kansas,5,42
Oregon,-1,42
Ohio,3,41
Indiana,4,41
Minnesota,2,40
Rhode Island,0,39
Arizona,1,37
Michigan,2,36
Washington,-3,36
Alabama,3,36
Colorado,1,35
Mississippi,3,34
North Carolina,2,34
Lousiana,2,34
Delaware,0,34
South Carolina,4,34
Pennsylvania,2,33
Nevada,-1,33
Illinois,-2,32
New Jersey,-1,31
Florida,1,31
Georgia,1,31
California,-2,24
New Mexico,-1,24
Maryland,0,20